"Subtribe","Species Name","Authority","Synonymous","Chromosome number  (2n)","Chromosome number  (n)","Chromosome number  Reference","Genome Size (1C (pg))","Genome Size Reference"
"Catasetinae","Mormodes lineata ","Bateman ex Lindl.","Catasetum trimerochilum Lem.; Mormodes histrio Linden & Rchb.f.",54,"NA","Jones & Daker (1968)","NA",
"Coeliopsidinae","Genus Peristeria Hook. (13 species)",,,,,,,
"Coeliopsidinae","Peristeria elata","Hook.",,40,"NA","Jones et al. (1998)",4.70,"Jones et al. (1998)"
"Coeliopsidinae","Peristeria guttata","Knowles & Westc.","Lycomormium minus Kraenzl. ",40,"NA","Daker & Jones (1970)","NA",
"Cymbidiinae","Genus Ansellia Lindl. (1 specie)",,,,,,,
"Cymbidiinae","Ansellia africana ","Lindl.","Ansellia africana subsp. africana; Ansellia africana var. nilotica Baker; Ansellia confusa N.E.Br.; Ansellia congoensis Rodigas; Ansellia gigantea Rchb.f.; Ansellia gigantea subsp. nilotica (Baker) Senghas; Ansellia gigantea var. nilotica (Baker) Summerh.; Ansellia humilis W.Bull; Ansellia nilotica (Baker) N.E.Br.; Cymbidium sandersonii Harv. ",42,"NA","Aoyama (1989)",1.86,"Rupp et al. (2010)"
"Cymbidiinae","Genus Cymbidium Sw. (83 species)",,,,,,,
"Cymbidiinae","Cymbidium aliciae","Quisumb.","Cymbidium cyperifolium var. aliciae (Quisumb.) O.Gruss & M.Wolff ",40,"NA","Aoyama (1989)",,
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Aoyama (1989)",4.70,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Vij et al. (1982) ",4.71,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Singh (1981)",4.72,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Biswas (1980a)",4.73,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Chean et al. (2003)",4.74,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium aloifolium","(L.) Sw.","Aerides borassii Buch.-Ham. ex Sm.; Cymbidium erectum Wight; Cymbidium intermedium H.G.Jones; Cymbidium pendulum (Roxb.) Sw.; Cymbidium simulans Rolfe; Epidendrum aloides Curtis; Epidendrum aloifolium L.; Epidendrum pendulum Roxb. ",40,"NA","Roy & Biswas (2001)",4.75,"Narayan et al. (1989)"
"Cymbidiinae","Cymbidium atropurpureum","(Lindl.) Rolfe","Cymbidium atropurpureum var. olivaceum J.J.Sm.; Cymbidium finlaysonianum var. atropurpureum (Lindl.) A.H.Kent; Cymbidium finlaysonianum var. atropurpureum (Lindl.) Veitch; Cymbidium pendulum var. atropurpureum Lindl. ",40,"NA","Pancho (1965)","NA",
"Cymbidiinae","Cymbidium bicolor","Lindl. ","Cymbidium bicolor subsp. bicolor  ",42,"NA","Zaman & Sultana (1983)","NA",
"Cymbidiinae","Cymbidium bicolor","Lindl. ","Cymbidium bicolor subsp. bicolor  ",40,"NA","Swamy (1941)","NA",
"Cymbidiinae","Cymbidium canaliculatum","R.Br.","Cymbidium canaliculatum f. aureolum Rupp; Cymbidium canaliculatum f. barrettii (Nicholls) O.Gruss & M.Wolff; Cymbidium canaliculatum f. fuscum Rupp; Cymbidium canaliculatum f. purpurascens Rupp; Cymbidium canaliculatum f. sparkesii (Rendle) O.Gruss & M.Wolff; Cymbidium canaliculatum var. barrettii Nicholls; Cymbidium canaliculatum var. marginatum Rupp; Cymbidium canaliculatum var. sparkesii (Rendle) F.M.Bailey; Cymbidium sparkesii Rendle ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium cerinum ","Schltr.",,"NA","NA",,4.05,"Nagl & Capesius (1977)"
"Cymbidiinae","Cymbidium chloranthum","Lindl.","Cymbidium chloranthum subsp. chloranthum; Cymbidium pulchellum Schltr.; Cymbidium sanguineum Teijsm. & Binn.; Cymbidium sanguinolentum Teijsm. & Binn.; Cymbidium variciferum Rchb.f. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium cochleare","Lindl.","Cymbidium babae (Kudô ex Masam.) Masam.; Cymbidium kanran var. babae (Kudô ex Masam.) S.S. Ying; Cyperorchis babae Kudô ex Masam.; Cyperorchis cochleare (Lindl.) Benth.; Cyperorchis cochlearis (Lindl.) Benth.; Cyperorchis kanran var. babae (Kudô ex Masam.) S.S. Ying ",40,"NA","Vij et al. (1982)","NA",
"Cymbidiinae","Cymbidium cyperifolium","Wall. ex Lindl.","Cymbidium carnosum Griff.; Cymbidium cyperifolium subsp. cyperifolium; Cymbidium viridiflorum Griff.; Cyperorchis wallichii Blume; Geodorum longifolium (Roxb.) Voigt; Limodorum cyperifolium Buch.-Ham. ex Lindl.; Limodorum longifolium Roxb. ",40,"NA","Vij et al. (1982)","NA",
"Cymbidiinae","Cymbidium cyperifolium","Wall. ex Lindl.","Cymbidium carnosum Griff.; Cymbidium cyperifolium subsp. cyperifolium; Cymbidium viridiflorum Griff.; Cyperorchis wallichii Blume; Geodorum longifolium (Roxb.) Voigt; Limodorum cyperifolium Buch.-Ham. ex Lindl.; Limodorum longifolium Roxb. ",40,"NA","Biswas (1980b)","NA",
"Cymbidiinae","Cymbidium dayanum","Rchb.f.","Cymbidium acutum Ridl.; Cymbidium alborubens Makino; Cymbidium angustifolium Ames & C.Schweinf.; Cymbidium dayanum subsp. leachianum (Rchb.f.) S.S.Ying; Cymbidium dayanum var. albiflorum S.S. Ying; Cymbidium dayanum var. austrojaponicum Tuyama; Cymbidium dayanum var. leachianum (Rchb. f.) S.S. Ying; Cymbidium eburneum var. austrojaponicum (Tuyama) M.Hiroe; Cymbidium eburneum var. dayanum (Rchb.f.) Hook.f.; Cymbidium eburneum var. dayi Jennings; Cymbidium leachianum Rchb.f.; Cymbidium poilanei Gagnep.; Cymbidium pulcherrimum Sander; Cymbidium simonsianum King & Pantl.; Cymbidium simonsianum f. vernale Makino; Cymbidium sutepense Rolfe ex Downie",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium devonianum","Paxton","Cymbidium rigidum Z.J.Liu & S.C.Chen; Cymbidium sikkimense Hook.f. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium eburneum","Lindl.","Cymbidium eburneum var. longzhouense Z.J.Liu & S.C.Chen; Cymbidium eburneum var. philbrickianum Rchb.f.; Cymbidium eburneum var. williamsianum Rchb.f.; Cymbidium syringodorum Griff.; Cyperorchis eburnea (Lindl.) Schltr.",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium elegans","Lindl.","Cymbidium densiflorum Griff.; Cymbidium elegans var. elegans; Cymbidium elegans var. lutescens Hook.f.; Cymbidium elegans var. obcordatum Rchb.f.; Cymbidium longifolium D.Don; Cyperorchis elegans (Lindl.) Blume; Cyperorchis longifolia (D.Don) Schltr.; Limodorum angustifolium Buch.-Ham. ex Lindl. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium ensifolium","(L.) Sw.","Cymbidium albomarginatum Makino; Cymbidium arrogans Hayata; Cymbidium ensifolium f. arcuatum T.C.Yen; Cymbidium ensifolium f. falcatum T.C.Yen; Cymbidium ensifolium f. flaccidior Makino; Cymbidium ensifolium var. misericors (Hayata) T.P.Lin; Cymbidium ensifolium var. misericors (Hayata) T.S. Liu & H.J. Su; Cymbidium ensifolium var. rubrigemmum (Hayata) T.S.Liu & H.J.Su; Cymbidium ensifolium var. striatum Lindl.; Cymbidium ensifolium var. susin T.C.Yen; Cymbidium ensifolium var. xiphiifolium (Lindl.) S.S.Ying; Cymbidium ensifolium var. yakibaran (Makino) Y.S.Wu & S.C.Chen; Cymbidium estriatum Lindl. ex Steud.; Cymbidium gonzalesii Quisumb.; Cymbidium gyokuchin Makino; Cymbidium gyokuchin var. arrogans (Hayata) S.S.Ying; Cymbidium gyokuchin var. soshin Makino; Cymbidium kanran var. misericors (Hayata) S.S.Ying; Cymbidium koran Makino; Cymbidium micans Schauer; Cymbidium misericors Hayata; Cymbidium misericors var. oreophilum Hayata; Cymbidium niveomarginatum Makino; Cymbidium prompovenium Z.J.Liu & J.N.Zhang; Cymbidium rubrigemmum Hayata; Cymbidium shimaran Makino; Cymbidium xiphiifolium Lindl.; Cymbidium yakibaran Makino; Cymbidium yongfuense Z.J.Liu & J.N.Zhang; Epidendrum ensifolium L.; Jensoa ensata (Thunb.) Raf.; Limodorum ensatum Thunb.; Liuguishania taiwanensis Z.J.Liu & J.N.Zhang ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium erythraeum ","Lindl.","Cymbidium erythraeum var. erythraeum; Cymbidium hennisianum Schltr.; Cyperorchis hennisiana (Schltr.) Schltr. ","40, 42","NA","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242316337","NA",
"Cymbidiinae","Cymbidium erythrostylum","Rolfe","Cyperorchis erythrostyla (Rolfe) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium faberi","Rolfe","Cymbidium cerinum Schltr.; Cymbidium faberi var. faberi; Cymbidium fukiense T.C.Yen; Cymbidium oiwakense Hayata; Cymbidium scabroserrulatum Makino; Eulophia yunnanensis Rolfe; Semiphajus evrardii Gagnep. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium finlaysonianum","Lindl.","Cymbidium pendulum var. brevilabre Lindl.; Cymbidium tricolor Miq.; Cymbidium wallichii Lindl. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium finlaysonianum","Lindl.","Cymbidium pendulum var. brevilabre Lindl.; Cymbidium tricolor Miq.; Cymbidium wallichii Lindl. ",40,"NA","Pancho (1965)","NA",
"Cymbidiinae","Cymbidium floribundum","Lindl.","Cymbidium chawalongense C.L.Long, H.Li & Z.L.Dao; Cymbidium floribundum f. virescens (Makino) O.Gruss & M.Wolff; Cymbidium floribundum var. pumilum (Rolfe) Y.S.Wu & S.C.Chen; Cymbidium illiberale Hayata; Cymbidium pumilum Rolfe; Cymbidium pumilum f. virescens Makino ",40,"NA","Aoyama (1989)",4.40,"Nagl & Capesius (1977)"
"Cymbidiinae","Cymbidium goeringii ","(Rchb.f.) Rchb.f.","Cymbidium formosanum Hayata; Cymbidium formosanum f. albiflorum S.S.Ying; Cymbidium forrestii Rolfe; Cymbidium goeringii f. albiflorum (S.S.Ying) S.S.Ying; Cymbidium goeringii var. formosanum (Hayata) S.S.Ying; Cymbidium goeringii var. goeringii ; Cymbidium goeringii var. mackinnonii (Duthie) A.N.Rao; Cymbidium mackinnonii Duthie; Cymbidium pseudovirens Schltr.; Cymbidium tentyozanense Masam.; Cymbidium uniflorum T.C.Yen;Cymbidium virens Rchb.f.; Cymbidium virescens Lindl.; Cymbidium yunnanense Schltr.; Maxillaria goeringii Rchb.f. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium grandiflorum","Sw.","Status ambíguo",40,"NA","Vijayakumar & Subramanian (1994)","NA",
"Cymbidiinae","Cymbidium hookerianum","Rchb.f.","Cymbidium giganteum var. hookerianum (Rchb.f.) Desbois; Cymbidium grandiflorum Griff.; Cymbidium grandiflorum var. punctatum Cogn.; Cyperorchis grandiflora Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium insigne","Rolfe","Cymbidium insigne f. album (O'Brien) O.Gruss & M.Wolff; Cymbidium insigne subsp. insigne; Cymbidium insigne var. album O'Brien; Cymbidium insigne var. sanderi O'Brien; Cymbidium sanderi O'Brien; Cyperorchis insignis (Rolfe) Schltr. ",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium iridioides","D.Don","Cymbidium giganteum Wall. ex Lindl.; Cyperorchis gigantea (Blume) Schltr.; Iridorchis gigantea Blume; Limodorum longifolium Buch.-Ham. ex Lindl.",40,"NA","Aoyama (1989)","NA",
"Cymbidiinae","Cymbidium javanicum","Blume","Cymbidium lancifolium Hook.","38, 43, 57","NA","Aoyama (1989)","NA",
