Subtribe,Species Name,Authority,Synonymous,Chromosome number (2n),Chromosome number (n),Chromosome Number Reference,Genome Size (1C (pg)),Genome Size Reference
Eulophiinae Benth.,Oeceoclades saundersiana,(Rchb.f.) Garay & P.Taylor,Eulophia bieleri De Wild.; Eulophia mildbraedii Kraenzl.; Eulophia saundersiana Rchb.f.; Eulophidium saundersianum (Rchb.f.) Summerh.; Graphorchis saundersiana (Rchb. f.) Kuntze; Graphorkis saundersiana (Rchb.f.) Kuntze; Lissochilus barombensis Kraenzl. ,,NA,Ar-Rushdi (1971),NA,
Eulophiinae Benth.,Oeceoclades maculata,(Lindl.) Lindl.,Angraecum maculatum Lindl.; Angraecum monophyllum A.Rich.; Epidendrum connivens Vell.; Eulophia ledienii Stein ex N.E.Br.; Eulophia liedenii N.E.Br.; Eulophia mackenii Rolfe ex Hemsl.; Eulophia maculata (Lindl.) Rchb.f.; Eulophia monophylla (A.Rich.) S.Moore; Eulophidium liedenii (N.E.Br.) De Wild.; Eulophidium mackenii (Rolfe ex Hemsl.) Schltr.; Eulophidium maculatum (Lindl.) Pfitzer; Eulophidium maculatum var. pterocarpum Hauman; Eulophidium monophyllum (A.Rich.) Schltr.; Eulophidium nyassanum Schltr.; Eulophidium warneckeanum Kraenzl.; Geodorum pictum Link; Geodorum pictum Link & Otto; Graphorchis maculata (Lindl.) Kuntze; Graphorkis maculata (Lindl.) Kuntze; Limodorum maculatum (Lindl.) Lodd.; Oeceoclades mackenii (Rolfe ex Hemsl.) Garay & P.Taylor; Oeceoclades maculata var. pterocarpa (Hauman) Garay & P.Taylor; Oeceoclades monophylla (A.Rich.) Garay & P.Taylor; Oeceoclades paraguayensis Hauman ,46,NA,Guerra (1986),NA,
Eulophiinae Benth.,Oeceoclades maculata,(Lindl.) Lindl.,Angraecum maculatum Lindl.; Angraecum monophyllum A.Rich.; Epidendrum connivens Vell.; Eulophia ledienii Stein ex N.E.Br.; Eulophia liedenii N.E.Br.; Eulophia mackenii Rolfe ex Hemsl.; Eulophia maculata (Lindl.) Rchb.f.; Eulophia monophylla (A.Rich.) S.Moore; Eulophidium liedenii (N.E.Br.) De Wild.; Eulophidium mackenii (Rolfe ex Hemsl.) Schltr.; Eulophidium maculatum (Lindl.) Pfitzer; Eulophidium maculatum var. pterocarpum Hauman; Eulophidium monophyllum (A.Rich.) Schltr.; Eulophidium nyassanum Schltr.; Eulophidium warneckeanum Kraenzl.; Geodorum pictum Link; Geodorum pictum Link & Otto; Graphorchis maculata (Lindl.) Kuntze; Graphorkis maculata (Lindl.) Kuntze; Limodorum maculatum (Lindl.) Lodd.; Oeceoclades mackenii (Rolfe ex Hemsl.) Garay & P.Taylor; Oeceoclades maculata var. pterocarpa (Hauman) Garay & P.Taylor; Oeceoclades monophylla (A.Rich.) Garay & P.Taylor; Oeceoclades paraguayensis Hauman ,58,NA,Burg & Laan (1980),NA,
Eulophiinae Benth.,Oeceoclades calcarata ,(Schltr.) Garay & P.Taylor,Cymbidium calcaratum Schltr.; Eulophia calcarata (Schltr.) Schltr.; Eulophia paniculata Rolfe; Eulophidium paniculatum (Rolfe) Summerh.; Lissochilus paniculatus (Rolfe) H.Perrier ,60,NA,Aoyama (1989),NA,
Eulophiinae Benth.,Genus Geodorum Jacks. (38 species),,,,,,,
Eulophiinae Benth.,Geodorum pallidum, D. Don,Cymbidium nutans (Roxb.) Sw.; Geodorum purpureum R.Br.; Limodorum nutans Roxb.; Malaxis nutans (Roxb.) Willd. ,52,NA,Biswas (1980b),NA,
Eulophiinae Benth.,Geodorum densiflorum,(Lam.) Schltr.,Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ,36,NA,Pancho (1965),NA,
Eulophiinae Benth.,Geodorum densiflorum,(Lam.) Schltr.,Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ,52,NA,Biswas (1980b),NA,
Eulophiinae Benth.,Geodorum densiflorum,(Lam.) Schltr.,Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ,52,NA,Mehra & Sehgal (1978),NA,
Eulophiinae Benth.,Geodorum densiflorum,(Lam.) Schltr.,Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ,54,NA,Aoyama (1989),NA,
Eulophiinae Benth.,Geodorum densiflorum,(Lam.) Schltr.,Arethusa glutinosa Blanco; Cistella cernua (Willd.) Blume; Cymbidium pictum R.Br.; Dendrobium haenkeanum Steud.; Dendrobium nutans C.Presl; Geodorum candidum (Roxb.) Lindl.; Geodorum formosanum Rolfe ex Hemsl.; Geodorum fucatum Lindl.; Geodorum neocaledonicum Kraenzl.; Geodorum nutans (C.Presl) Ames; Geodorum pacificum Rolfe; Geodorum pictum (R.Br.) Lindl.; Geodorum rariflorum Lindl.; Geodorum semicristatum Lindl.; Geodorum tricarinatum Schltr.; Limodorum candidum Roxb.; Limodorum densiflorum Lam.; Malaxis cernua Willd.; Ortmannia cernua (Willd.) Opiz; Otandra cernua (Willd.) Salisb.; Tropidia grandis Hance ,54,NA,Mehra & Sehgal (1978),NA,
Eulophiinae Benth.,Genus Cymbidiella Rolfe (3 species),,,,,,,
Eulophiinae Benth.,Cymbidiella flabellata ,(Thouars) Rolfe,Caloglossum flabellatum (Thouars) Schltr.; Cymbidiella perrieri Schltr.; Cymbidium flabellatum (Thouars) Spreng.; Graphorkis flabellata (Spreng.) Kuntze; Limodorum flabellatum Thouars ,52,NA,Aoyama (1989),NA,
Eulophiinae Benth.,Cymbidiella pardalina ,(Rchb.) Garay,Caloglossum rhodochilum (Rolfe) Schltr.; Cymbidiella rhodochila (Rolfe) Rolfe; Cymbidium loise-chauvierii hort.; Cymbidium rhodochilum Rolfe; Grammangis pardalina Rchb.f. ,52,NA,Aoyama (1989),NA,
Eulophiinae Benth.,Cymbidiella pardalina ,(Rchb.) Garay,Caloglossum rhodochilum (Rolfe) Schltr.; Cymbidiella rhodochila (Rolfe) Rolfe; Cymbidium loise-chauvierii hort.; Cymbidium rhodochilum Rolfe; Grammangis pardalina Rchb.f. ,54,,Wimber,NA,
Maxillariinae Benth.,Genus Anguloa Ruiz & Pav. (13 species),,,,,,,
Maxillariinae Benth.,Anguloa uniflora,Ruiz & Pav.,Anguloa uniflora var. treyeranii Rolfe,NA,NA,,3.36,Engel et al. (sub.)
Maxillariinae Benth.,Anguloa virginalis,Linden ex B.S.Williams,Anguloa mantinii Bosschere; Anguloa uniflora var. maculata Linden; Anguloa virginalis var. virginalis  ,40,NA,Ryan et al. (2000),3.40,Engel et al. (sub.)
Maxillariinae Benth.,Anguloa virginalis,Linden ex B.S.Williams,Anguloa mantinii Bosschere; Anguloa uniflora var. maculata Linden; Anguloa virginalis var. virginalis  ,40,NA,Engel et al. (sub.),3.41,Engel et al. (sub.)
Maxillariinae Benth.,Genus Bifrenaria Lindl. (22 species),,,,,,,
Maxillariinae Benth.,Bifrenaria aureofulva,Lindl.,Adipe aureofulva (Lindl.) M.Wolff; Bifrenaria secunda (Hoehne) Pabst; Maxillaria aureofulva (Lindl.) Hook.;  Maxillaria stenopetala Knowles & Westc.; Stenocoryne secunda Hoehne; Stenocoryne secundum (Jacq.) Hoehne ,38,NA,Moraes et al. (2017),03.04,Moraes et al. (2017)
Maxillariinae Benth.,Bifrenaria calcarata,Barb.Rodr.,Bifrenaria barbosae V.P.Castro,38,NA,Moraes et al. (2017),NA,
Maxillariinae Benth.,Bifrenaria harrisoniae,(Hook.) Rchb.f.,Bifrenaria aurea Barb.Rodr.; Bifrenaria harrisoniae f. alba-plena (Pabst) F.Barros & J.A.N.Bat.; Bifrenaria harrisoniae var. alba (Lindl.) Kraenzl.; Bifrenaria harrisoniae var. alba-plena Pabst; Bifrenaria harrisoniae var. angustior (Lindl.) Cogn.; Bifrenaria harrisoniae var. buchananiana Rchb.f.; Bifrenaria harrisoniae var. citrina (B.S.Williams) Stein; Bifrenaria harrisoniae var. eburnea (S.Moore) Stein; Bifrenaria harrisoniae var. flavopurpurea Hoehne; Bifrenaria harrisoniae var. glabra W.Zimm.; Bifrenaria harrisoniae var. grandiflora (Paxton) Cogn.; Bifrenaria harrisoniae var. insularis Hoehne; Bifrenaria harrisoniae var. minor Hoehne; Bifrenaria harrisoniae var. pubigera (Klotzsch) Rchb.f.; Bifrenaria harrisoniae var. purpurascens A.H.Kent; Bifrenaria tyrianthina var. albescens Hoehne; Colax grandiflorus Raf.; Colax harrisoniae (Hook.) Lindl. ex Spreng.; Dendrobium harrisoniae Hook.; Lycaste citrina B.S.Williams; Lycaste harrisoniae (Hook.) G.Don ex Loudon ; Lycaste harrisoniae var. eburnea S.Moore; Maxillaria barringtoniae Rchb.f. ; Maxillaria harrisoniae (Hook.) Lindl.; Maxillaria harrisoniae var. alba Lindl.; Maxillaria harrisoniae var. angustior Lindl.; Maxillaria harrisoniae var. eburnea S.Moore; Maxillaria harrisoniae var. grandiflora Paxton; Maxillaria pubigera Klotzsch; Maxillaria spathacea Lindl.; Stanhopea harrisoniae (Hook.) P.N.Don,38,NA,Blumenschein & Flechtmann (1961),3.71,Moraes et al. (2017)
Maxillariinae Benth.,,,,38,NA,Tanaka & Kamemoto (1984),,
Maxillariinae Benth.,,,,38,NA,Moraes et al. (2017),,
Maxillariinae Benth.,Bifrenaria inodora,Lindl.,Bifrenaria fragrans Barb.Rodr.; Bifrenaria fuerstenbergiana Schltr. ,38,NA,Moraes et al. (2017),3.73,Moraes et al. (2017)
Maxillariinae Benth.,Bifrenaria leucorrhoda,Rchb. f.,,38,NA,Moraes et al. (2017),03.02,Moraes et al. (2017)
Maxillariinae Benth.,Bifrenaria longicornis,Lindl.,Adipe longicornis (Lindl.) M.Wolff; Bifrenaria sabulosa Barb.Rodr.; Rudolfiella sabulosa (Barb.Rodr.) Hoehne; Schlechterella sabulosa (Barb.Rodr.) Hoehne; Stenocoryne longicornis (Lindl.) Lindl. ,38,NA,Moraes et al. (2017),3.33,Moraes et al. (2017)
Maxillariinae Benth.,Bifrenaria stefanae,V.P.Castro,Adipe stefanae (V.P.Castro) Senghas,38,NA,Moraes et al. (2017),NA,
Maxillariinae Benth.,Bifrenaria tetragona,(Lindl.) Schltr.,Bifrenaria calcarata (Vell.) V.P.Castro; Bifrenaria tetragona var. rupicola Hoehne; Bifrenaria tetragona var. umbrophila Hoehne; Cydoniorchis tetragona (Lindl.) Senghas; Epidendrum calcaratum Vell.; Lycaste tetragona (Lindl.) Lindl.; Maxillaria tetragona Lindl. ,"38, 76",NA,Blumenschein & Flechtmann (1961),NA,
Maxillariinae Benth.,Bifrenaria tyrianthina,(Lodd. ex Loudon) Rchb.f.,Lycaste tyrianthina Lodd. ex Loudon; Maxillaria tyrianthina (Lodd. ex Loudon) W.H.Baxter ,38,NA,Moraes et al. (2017),3.72,Moraes et al. (2017)
Maxillariinae Benth.,,,Bifrenaria magnicalcarata (Hoehne) Pabst; Bifrenaria tyrianthina var. magnicalcarata Hoehne; ,76,NA,Moraes et al. (2017),7.17,Moraes et al. (2017)
Maxillariinae Benth.,Bifrenaria venezuelana,C.Schweinf.,,38,NA,Moraes et al. (2017),3.67,Moraes et al. (2017)
Maxillariinae Benth.,"Genus Brasiliorchis R.Singer, S.Koehler & Carnevali (15 species)",,,,,,,
Maxillariinae Benth.,Brasiliorchis barbosae,"(Loefgr.) R.B.Singer, S.Koehler & Carnevali",Bolbidium barbosae (Loefgr.) J.M.H.Shaw; Maxillaria barbosae Loefgr. ,40,NA,Engel et al. (sub.),5.54,Engel et al. (sub.)
Maxillariinae Benth.,Brasiliorchis chrysantha,"(Barb.Rodr.) R.B.Singer, S.Koehler & Carnevali",Bolbidium chrysanthum (Barb.Rodr.) J.M.H.Shaw; Maxillaria chrysantha Barb.Rodr.; Maxillaria chrysantha var. acutifolia Barb.Rodr.; Maxillaria chrysantha var. macrobulbosa Barb.Rodr.; Maxillaria chrysantha var. pallidiflora Hoehne; Maxillaria serotina Regnell & Barb.Rodr. ,40,NA,Moraes et al. (2012),2.93,Moraes et al. (2012)
Maxillariinae Benth.,,,,40,NA,Engel et al. (sub.),,
Maxillariinae Benth.,Brasiliorchis consanguinea,"(Klotzsch) R.B.Singer, S.Koehler & Carnevali",,40,NA,Engel et al. (sub.),3.80,Engel et al. (sub.)
Maxillariinae Benth.,Brasiliorchis gracilis,"(Lodd., G.Lodd. & W.Lodd.) R.B.Singer, S.Koehler & Carnevali","Bletia humilis Link & Otto; Bolbidium gracile (Lodd., G.Lodd. & W.Lodd.) J.M.H.Shaw; Maxillaria gracilis Lodd., G.Lodd. & W.Lodd.; Maxillaria gracilis var. angustifolia Hoehne; Maxillaria gracilis var. intermedia Hoehne; Maxillaria gracilis var. macrantha Hoehne; Maxillaria gracilis var. minor Hoehne; Maxillaria gracilis var. punctata (Lodd.) Cogn.; Maxillaria gracilis var. queirogana (Barb.Rodr.) Hoehne; Maxillaria penduliflora Fenzl; Maxillaria punctata Lodd.; Maxillaria queirogana Barb.Rodr. ",40,NA,Moraes et al. (2012),2.84,Moraes et al. (2012)
Maxillariinae Benth.,Brasiliorchis kautskyi,"(Pabst) R.B.Singer, S.Koehler & Carnevali",Bolbidium kautskyi (Pabst) J.M.H.Shaw; Maxillaria kautskyi Pabst ,40,NA,Moraes et al. (2012),NA,
Maxillariinae Benth.,Brasiliorchis marginata,"(Lindl.) R.B.Singer, S.Koehler & Carnevali","Bolbidium marginatum (Lindl.) J.M.H.Shaw; Brasiliorchis consanguinea (Klotzsch) R.B.Singer, S.Koehler & Carnevali; Cymbidium marginatum Lindl.; Maxillaria consanguinea Klotzsch; Maxillaria crassipes Kraenzl.; Maxillaria deflexa A.Braun, Klotzsch & Bouché; Maxillaria marginata (Lindl.) Fenzl; Maxillaria murilliana Hoehne; Maxillaria pantherina Hoffmanns.; Maxillaria punctulata Klotzsch; Maxillaria tricolor Lindl. ",40,NA,Moraes et al. (2012),3.36,Moraes et al. (2012)
Maxillariinae Benth.,,,,40,NA,Engel et al. (sub.),,
Maxillariinae Benth.,Brasiliorchis monantha,(Barb.Rodr.) Campacci,Bolbidium monanthum (Barb.Rodr.) J.M.H.Shaw; Maxillaria monantha Barb.Rodr. ,40,NA,Engel et al. (sub.),NA,
Maxillariinae Benth.,Brasiliorchis phoenicanthera,"(Barb.Rodr.) R.B.Singer, S.Koehler & Carnevali",Bolbidium phoenicantherum (Barb.Rodr.) J.M.H.Shaw; Maxillaria phoenicanthera Barb.Rodr.; Maxillaria punctata Hoehne ,40,NA,Moraes et al. (2012),3.19,Moraes et al. (2012)
Maxillariinae Benth.,Brasiliorchis picta,"(Hook.) R.B.Singer, S.Koehler & Carnevali",Bolbidium pictum (Hook.) J.M.H.Shaw; Epidendrum uniflorum Vell.; Maxillaria acutipetala Hook.; Maxillaria hoehnei Schltr.; Maxillaria kreysigii Hoffmanns. ex Regel; Maxillaria kreysigii Rchb.f. ex Beer; Maxillaria leucocheile Hoffmanns.; Maxillaria monoceros Klotzsch ex Rchb.f.; Maxillaria picta Hook.; Maxillaria picta var. brunnea Rchb. f.; Maxillaria picta var. rupestris (Barb.Rodr.) Cogn.; Maxillaria picta-major Hook. ex F.Buyss.; Maxillaria rupestris Barb.Rodr.; Maxillaria rupestris var. minor Hoehne ,40,NA,Tanaka & Kamemoto (1984),3.38,Moraes et al. (2012)
Maxillariinae Benth.,,,,40,NA,Moraes et al. (2012),,
Maxillariinae Benth.,Brasiliorchis porphyrostele,"(Rchb.f.) R.B.Singer, S.Koehler & Carnevali",Bolbidium porphyrostele (Rchb.f.) J.M.H.Shaw; Maxillaria porphyrostele Rchb.f.; Maxillaria porphyrostele var. chrysanthoides Hoehne; Maxillaria porphyrostele var. fuscobracteata Porsch; Maxillaria porphyrostele var. minutipunctulata Hoehne; Maxillaria porphyrostele var. submarginata Hoehne ,40,NA,Moraes et al. (2012),3.41,Moraes et al. (2012)
Maxillariinae Benth.,Brasiliorchis schunkeana,"(Campacci & Kautsky) R.B.Singer, S.Koehler & Carnevali",Bolbidium schunkeanum (Campacci & Kautsky) J.M.H.Shaw; Maxillaria schunkeana Campacci & Kautsky ,40,NA,Moraes et al. (2012),4.19,Moraes et al. (2012)
Maxillariinae Benth.,Brasiliorchis ubatubana,"(Hoehne) R.B.Singer, S.Koehler & Carnevali",Bolbidium ubatubanum (Hoehne) J.M.H.Shaw; Maxillaria ubatubana Hoehne; Maxillaria ubatubana var. mantiqueirana Hoehne ,40,NA,Moraes et al. (2012),3.62,Moraes et al. (2012)
Maxillariinae Benth.,Genus Camaridium Lindl. (82 species),,,,,,,
Maxillariinae Benth.,Camaridium carinatum,(Barb.Rodr.) Hoehne,Camaridium bomboizense (Dodson) M.A.Blanco; Camaridium hoehnei Pabst; Camaridium iguapense (Hoehne & Schltr.) Hoehne; Camaridium iguapensis (Hoehne & Schltr.) Hoehne; Camaridium imbricatum (Barb.Rodr.) Hoehne; Camaridium imbricatum var. carinatum (Barb.Rodr.) Hoehne; Camaridium imbricatum var. iguapense (Hoehne & Schltr.) Hoehne; Maxillaria bomboizensis Dodson; Maxillaria carinata Barb.Rodr.; Maxillaria iguapensis Hoehne & Schltr.; Maxillaria imbricata Barb.Rodr.; Maxillaria imbricata var. major Cogn.; Maxillaria jenischiana var. carinata (Barb.Rodr.) Pabst; Maxillaria jenischiana var. iguapensis (Hoehne & Schltr.) Pabst; Sauvetrea bomboizensis (Dodson) M.A.Blanco ,38,NA,Engel et al. (sub.),1.93,Engel et al. (sub.)
Maxillariinae Benth.,Camaridium densum,(Lindl.) M.A.Blanco,,38,NA,Blumenschein & Paker (1963),NA,
Maxillariinae Benth.,Camaridium ochroleucum,Lindl.,Camaridium affine Schltr.; Camaridium amazonicum Schltr.; Camaridium cryptopodanthum Barb. Rodr.; Camaridium cyrtopodanthum Barb.Rodr.; Camaridium lutescens (Scheidw.) Rchb.f.; Cymbidium ochroleucum (Lindl.) Lindl.; Maxillaria camaridii Rchb.f.; Maxillaria hoehneana P.F.Hunt; Maxillaria lutescens Scheidw.; Ornithidium album Hook.; Ornithidium fragrans Rolfe ,40,NA,Blumenschein & Paker (1963),4.23,Engel et al. (sub.)
Maxillariinae Benth.,Camaridium vestitum,(Sw.) Lindl.,Camaridium micranthum M.A.Blanco; Camaridium purpureum Spreng.; Camaridium purpureum var. parviflorum (Poepp. & Endl.) Hoehne; Cymbidium vestitum (Sw.) Sw.; Epidendrum vestitum Sw.; Maxillaria conferta (Griseb.) C.Schweinf. ex León; Maxillaria exigua Regel; Maxillaria parviflora (Poepp. & Endl.) Garay; Maxillaria purpurea Ames & Correll; Maxillaria purpurea var. parviflora (Poepp. & Endl.) C.Schweinf.; Maxillaria purpurea var. purpurea; Maxillaria simulans (Ames & C.Schweinf.) L.O.Williams; Maxillaria simulans Ames & C. Schweinf.; Maxillaria surinamensis Focke ex Rchb. f.; Maxillaria vestita (Sw.) A.Lemée; Maxillaria virescens (Schltr.) Dodson; Ornithidium chloroleucum Barb.Rodr.; Ornithidium confertum Griseb.; Ornithidium parviflorum (Poepp. & Endl.) Rchb.f.; Ornithidium simulans Ames & C.Schweinf.; Ornithidium vestitum (Sw.) Rchb.f.; Ornithidium virescens Schltr.; Pseudomaxillaria chloroleuca (Barb.Rodr.) Hoehne; Pseudomaxillaria parviflora (Poepp. & Endl.) Brieger; Pseudomaxillaria vestita (Sw.) Brieger; Pseudomaxillaria virescens (Schltr.) Brieger; Scaphyglottis parviflora Poepp. & Endl. ,40,NA,Blumenschein & Paker (1963),1.88,Engel et al. (sub.)
Maxillariinae Benth.,"Genus Christensonella Szlach., Mytnik, Górniak & Smiszek (17 species)",,,,,,,
Maxillariinae Benth.,Christensonella echinophyta,"(Barb.Rodr.) Szlach., Mytnik, Górniak & Smiszek",Maxillaria echinophyta Barb.Rodr. ,NA,NA,,3.94,Engel et al. (sub.)
Maxillariinae Benth.,Christensonella ferdinandiana,"(Barb.Rodr.) Szlach., Mytnik, Górniak & Smiszek",,36,NA,Koehler et al. (2008),NA,
Maxillariinae Benth.,Christensonella nardoides,"(Kraenzl.) Szlach., Mytnik, Górniak & Smiszek",,NA,NA,,NA,
Maxillariinae Benth.,Christensonella neowiedii,(Rchb.f.) S.Koehler,,36,NA,Koehler et al. (2008),3.67,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella neowiedii,(Rchb.f.) S.Koehler,,36,NA,Moraes et al. (2012),3.67,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella pachyphylla,"(Schltr. ex Hoehne) Szlach., Mytnik, Górniak & Smiszek",Maxillaria ferdinandiana Barb.Rodr.; Maxillaria ferdinandiana var. luteola De Wild.; Maxillaria ferdinandiana var. virescens Cogn.,36,NA,Koehler et al. (2008),4.79,Engel et al. (sub.)
Maxillariinae Benth.,Christensonella pachyphylla,"(Schltr. ex Hoehne) Szlach., Mytnik, Górniak & Smiszek",Maxillaria ferdinandiana Barb.Rodr.; Maxillaria ferdinandiana var. luteola De Wild.; Maxillaria ferdinandiana var. virescens Cogn.,36,NA,Moraes et al. (2012),4.79,Engel et al. (sub.)
Maxillariinae Benth.,Christensonella paranaensis,(Barb.Rodr.) S.Koehler,"Maxillaria cogniauxiana W. Hoehne; Maxillaria juergensii Schltr.; Maxillaria paranaensis Barb. Rodr.; Maxillaria spegazziniana Kraenzl.; Christensonella cogniauxiana (Hoehne) Szlach., Mytnik, Górniak & Smiszek; Christensonella juergensii (Schltr.) Szlach., Mytnik, Górniak & Smiszek; Maxillaria heterophylla Hoehne; Maxillaria acicularis var. brevifolia Cogn.; Maxillaria cogniauxiana var. intermedia (Hoehne) Hoehne; Maxillaria cogniauxiana var. latifolia (Hoehne) Pabst; Maxillaria cogniauxiana var. longifolia Hoehne; Maxillaria cogniauxiana var. pygmaea (Hoehne) Pabst; Maxillaria heterophylla var. acicularifolia Hoehne; Maxillaria heterophylla var. intermedia Hoehne; Maxillaria heterophylla var. latifolia Hoehne; Maxillaria heterophylla var. longifolia Hoehne; Maxillaria heterophylla var. magnifolia Hoehne; Maxillaria heterophylla var. pygmaea Hoehne",38,NA,Koehler et al. (2008),4.37,Engel et al. (sub.)
Maxillariinae Benth.,Christensonella pumila,"(Hook.) Szlach., Mytnik, Górniak & Smiszek","Christensonella minuta (Cogn.) Szlach., Mytnik, Górniak & Smiszek; Maxillaria funerea Lindl.; Maxillaria minuta Cogn.; Maxillaria minuta var. minor Hoehne; Maxillaria parva Rolfe; Maxillaria plebeja Rchb.f.; Maxillaria pumila Hook.; Maxillaria spannagelii Hoehne ",36,NA,Moraes et al. (2012),3.37,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella pumila,"(Hook.) Szlach., Mytnik, Górniak & Smiszek","Christensonella minuta (Cogn.) Szlach., Mytnik, Górniak & Smiszek; Maxillaria funerea Lindl.; Maxillaria minuta Cogn.; Maxillaria minuta var. minor Hoehne; Maxillaria parva Rolfe; Maxillaria plebeja Rchb.f.; Maxillaria pumila Hook.; Maxillaria spannagelii Hoehne ",36,NA,Engel et al. (sub.),3.37,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella subulata,"(Lindl.) Szlach., Mytnik, Górniak & Smiszek","Christensonella paulistana (Hoehne) Szlach., Mytnik, Górniak & Smiszek; Maxillaria paulistana Hoehne; Maxillaria subulata Lindl. ",38,NA,Blumenschein & Paker (1963),3.58,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella subulata,"(Lindl.) Szlach., Mytnik, Górniak & Smiszek","Christensonella paulistana (Hoehne) Szlach., Mytnik, Górniak & Smiszek; Maxillaria paulistana Hoehne; Maxillaria subulata Lindl. ",38,NA,Koehler et al. (2008),3.58,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella subulata,"(Lindl.) Szlach., Mytnik, Górniak & Smiszek","Christensonella paulistana (Hoehne) Szlach., Mytnik, Górniak & Smiszek; Maxillaria paulistana Hoehne; Maxillaria subulata Lindl. ",38,NA,Moraes et al. (2012),3.58,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella subulata,"(Lindl.) Szlach., Mytnik, Górniak & Smiszek","Christensonella paulistana (Hoehne) Szlach., Mytnik, Górniak & Smiszek; Maxillaria paulistana Hoehne; Maxillaria subulata Lindl. ",76,NA,Koehler et al. (2008),3.58,Moraes et al. (2012)
Maxillariinae Benth.,Christensonella uncata,"(Lindl.) Szlach., Mytnik, Górniak & Smiszek",Camaridium uncatum (Lindl.) Hoehne; Maxillaria macleei Bateman ex Lindl.; Maxillaria nana Hook.; Maxillaria stenostele Schltr.; Maxillaria striatella Kraenzl.; Maxillaria uncata Lindl.; Ornithidium nanum Rolfe ,36,NA,Moraes et al. (2012),1.85,Moraes et al. (2012)
Maxillariinae Benth.,Genus Heterotaxis Lindl. (13 species),,,,,,,
Maxillariinae Benth.,Heterotaxis brasiliensis,(Brieger & Illg) F.Barros,Maxillaria brasiliensis Brieger & Illg ,42,NA,Moraes et al. (2016),4.32,Moraes et al. (2016)
Maxillariinae Benth.,Heterotaxis discolor,(Lodd. ex Lindl.) Ojeda & Carnevali,Dicrypta discolor Lodd. ex Lindl.; Maxillaria discolor (Lodd. ex Lindl.) Rchb.,42,NA,Félix & Guerra (2000),NA,
